    Tev(Myr)       type        Mo          Mt      L          R       Teff          Mc          Menv            Renv            epoch    spin         
   2949.5337      3.0000      1.4997      1.4997      6.6453      3.5169   4963.8306      0.1737      0.1128  68.720E-02     -1.5528  1.1043E+02
   2951.1880      3.0000      1.4997      1.4997      6.7260      3.5407   4962.0640      0.1741      0.1128  69.517E-02     -1.5528  1.0874E+02
   2952.8259      3.0000      1.4997      1.4997      6.8076      3.5647   4960.2876      0.1744      0.1127  70.319E-02     -1.5528  1.0707E+02
   2954.4473      3.0000      1.4997      1.4997      6.8902      3.5888   4958.5015      0.1748      0.1126  71.124E-02     -1.5528  1.0543E+02
   2956.0525      3.0000      1.4997      1.4997      6.9738      3.6132   4956.7051      0.1751      0.1125  71.934E-02     -1.5528  1.0381E+02
   2957.6416      3.0000      1.4997      1.4997      7.0584      3.6377   4954.8994      0.1755      0.1124  72.747E-02     -1.5528  1.0223E+02
   2959.2148      3.0000      1.4997      1.4997      7.1440      3.6624   4953.0835      0.1759      0.1123  73.564E-02     -1.5528  1.0067E+02
   2960.7725      3.0000      1.4997      1.4997      7.2307      3.6872   4951.2578      0.1762      0.1122  74.385E-02     -1.5528  9.9132E+01
   2962.3142      3.0000      1.4997      1.4997      7.3185      3.7123   4949.4229      0.1766      0.1122  75.209E-02     -1.5528  9.7623E+01
   2963.8408      3.0000      1.4997      1.4997      7.4073      3.7375   4947.5776      0.1769      0.1121  76.037E-02     -1.5528  9.6139E+01
   2965.3521      3.0000      1.4997      1.4997      7.4971      3.7629   4945.7227      0.1773      0.1120  76.868E-02     -1.5528  9.4680E+01
   2966.8481      3.0000      1.4997      1.4997      7.5881      3.7886   4943.8579      0.1776      0.1119  77.702E-02     -1.5528  9.3244E+01
   2968.3293      3.0000      1.4997      1.4997      7.6802      3.8144   4941.9834      0.1780      0.1118  78.539E-02     -1.5528  9.1833E+01
   2969.7959      3.0000      1.4997      1.4997      7.7734      3.8404   4940.0986      0.1783      0.1117  79.379E-02     -1.5528  9.0444E+01
   2971.2476      3.0000      1.4997      1.4997      7.8677      3.8666   4938.2046      0.1787      0.1117  80.222E-02     -1.5528  8.9078E+01
   2972.6848      3.0000      1.4997      1.4996      7.9631      3.8929   4936.3008      0.1791      0.1116  81.068E-02     -1.5528  8.7735E+01
   2974.1077      3.0000      1.4997      1.4996      8.0598      3.9195   4934.3867      0.1794      0.1115  81.916E-02     -1.5528  8.6413E+01
   2975.5161      3.0000      1.4997      1.4996      8.1575      3.9463   4932.4629      0.1798      0.1114  82.767E-02     -1.5528  8.5113E+01
   2976.9106      3.0000      1.4997      1.4996      8.2565      3.9733   4930.5298      0.1801      0.1113  83.620E-02     -1.5528  8.3834E+01
   2978.2913      3.0000      1.4997      1.4996      8.3567      4.0005   4928.5864      0.1805      0.1112  84.475E-02     -1.5528  8.2576E+01
   2979.6580      3.0000      1.4997      1.4996      8.4581      4.0279   4926.6333      0.1809      0.1111  85.332E-02     -1.5528  8.1338E+01
   2981.0110      3.0000      1.4997      1.4996      8.5607      4.0555   4924.6704      0.1812      0.1111  86.190E-02     -1.5528  8.0120E+01
   2982.3506      3.0000      1.4997      1.4996      8.6646      4.0833   4922.6978      0.1816      0.1110  87.051E-02     -1.5528  7.8922E+01
   2983.6768      3.0000      1.4997      1.4996      8.7697      4.1113   4920.7153      0.1820      0.1109  87.912E-02     -1.5528  7.7743E+01
   2984.9897      3.0000      1.4997      1.4996      8.8761      4.1395   4918.7231      0.1823      0.1108  88.775E-02     -1.5528  7.6583E+01
   2986.2896      3.0000      1.4997      1.4996      8.9838      4.1679   4916.7212      0.1827      0.1107  89.639E-02     -1.5528  7.5442E+01
   2987.5762      3.0000      1.4997      1.4996      9.0928      4.1966   4914.7090      0.1831      0.1106  90.503E-02     -1.5528  7.4319E+01
   2988.8501      3.0000      1.4997      1.4996      9.2032      4.2254   4912.6875      0.1834      0.1106  91.368E-02     -1.5528  7.3214E+01
   2990.1113      3.0000      1.4997      1.4996      9.3148      4.2545   4910.6562      0.1838      0.1105  92.233E-02     -1.5528  7.2127E+01
   2991.3599      3.0000      1.4997      1.4996      9.4279      4.2838   4908.6147      0.1842      0.1104  93.099E-02     -1.5528  7.1056E+01
